messageId,sequence,referenceTime,detectionTime,stationId,MeasuredDelayms
1,0,516904233128,516904233127,2,-516904232447
1,0,516904233169,516904233169,2,-516904231988
1,0,516904233212,516904233212,2,-516904231531
1,0,516904233274,516904233274,2,-516904231093
1,0,516904233325,516904233325,2,-516904230644
1,0,516904233374,516904233374,2,-516904230193
1,0,516904233418,516904233418,2,-516904229737
1,0,516904233467,516904233467,2,-516904229286
1,0,516904233522,516904233522,2,-516904228841
1,0,516904233560,516904233560,4,-516904228596
1,0,516904233598,516904233598,2,-516904228417
1,0,516904233640,516904233640,4,-516904228176
1,0,516904233681,516904233681,2,-516904228000
1,0,516904233740,516904233740,4,-516904227776
1,0,516904233787,516904233787,2,-516904227606
1,0,516904233846,516904233846,4,-516904227382
1,0,516904233903,516904233903,2,-516904227222
1,0,516904233963,516904233963,4,-516904226999
1,0,516904234023,516904234023,2,-516904226842
1,0,516904234091,516904234091,4,-516904226627
1,0,516904234153,516904234153,2,-516904226472
1,0,516904234226,516904234226,4,-516904226262
1,0,516904234290,516904234290,2,-516904226109
1,0,516904234367,516904234367,4,-516904225903
1,0,516904234438,516904234438,2,-516904225757
1,0,516904234530,516904234530,4,-516904225566
1,0,516904234594,516904234594,2,-516904225413
1,0,516904234696,516904234696,4,-516904225232
1,0,516904234774,516904234774,2,-516904225093
